educ	south	nonwhite	female	married	exper	expersq	union	lwage	age	year
18	0	0	0	1	21	441	0	2,3025999069	44	78
12	0	0	1	1	4	16	0	1,2527999878	21	78
13	0	0	1	1	35	1225	0	1,5040999651	53	78
14	0	0	1	1	5	25	0	1,3862999678	24	78
12	0	0	1	0	1	1	0	1,0116000175	18	78
10	0	0	0	0	3	9	0	1,3657000065	18	78
12	0	0	1	0	3	9	0	1,3217999935	20	78
12	0	0	0	1	21	441	0	2,3025999069	38	78
12	0	0	0	1	6	36	0	2,0148999691	23	78
18	1	0	0	0	34	1156	0	3,2179000378	57	78
12	1	0	1	0	22	484	0	1,609400034	39	78
17	1	0	0	1	16	256	0	2,5840001106	38	78
13	0	0	1	0	4	16	0	1,3217999935	22	78
18	0	0	0	1	15	225	0	2,1019001007	38	78
13	0	0	0	1	26	676	0	1,6784000397	44	78
17	0	0	1	1	19	361	1	1,7491999865	41	78
7	0	0	0	1	43	1849	0	0,9746000171	55	78
8	0	0	0	1	18	324	0	1,8717999458	31	78
17	0	0	0	1	10	100	1	1,609400034	32	78
10	0	0	0	0	3	9	0	0,7985000014	18	78
9	0	0	0	1	46	2116	0	1,2039999962	60	78
12	0	0	1	1	10	100	1	1,4170999527	27	78
17	0	0	0	1	5	25	1	1,8870999813	27	78
14	0	0	0	0	5	25	0	1,6503000259	24	78
12	0	0	1	0	7	49	0	1,1924999952	24	78
12	0	0	0	1	15	225	1	2,3933000565	32	78
12	0	0	0	1	31	961	1	2,1888999939	48	78
12	0	0	0	1	39	1521	0	2,5257000923	56	78
14	0	0	0	1	8	64	0	1,609400034	27	78
13	0	0	1	1	28	784	0	0,9162999988	46	78
16	0	0	1	0	10	100	1	2,4144999981	31	78
12	0	0	0	1	36	1296	1	2,5257000923	53	78
15	0	0	1	1	3	9	1	2,0794000626	23	78
12	0	0	0	1	27	729	1	2,6582999229	44	78
8	0	0	0	1	47	2209	1	2,4744000435	60	78
12	0	0	1	0	39	1521	1	2,6391000748	56	78
15	0	0	0	0	12	144	0	2,5257000923	32	78
10	0	0	0	1	27	729	0	2,1972000599	43	85
12	0	0	0	1	20	400	0	1,7046999931	38	85
12	0	0	1	0	4	16	0	1,3350000381	22	85
12	0	0	1	1	29	841	0	2,3513998985	47	85
12	0	0	0	1	40	1600	1	2,7079999447	58	85
16	0	0	1	1	27	729	0	2,1972000599	49	85
12	0	0	1	1	5	25	1	2,2585999966	23	85
14	0	0	0	0	22	484	0	2,7079999447	42	85
8	0	0	0	1	42	1764	0	2,3979001045	56	85
12	0	0	1	1	14	196	0	1,609400034	32	85
17	0	0	0	1	18	324	0	3,2179000378	41	85
17	0	0	0	0	3	9	0	3,0155000687	26	85
14	0	0	0	0	4	16	1	3,2188999653	24	85
14	0	0	0	0	14	196	0	2,6375999451	34	85
12	0	0	0	1	35	1225	0	1,2527999878	53	85
14	0	0	0	0	0	0	0	1,609400034	20	85
16	0	0	0	1	7	49	1	2,3025999069	29	85
16	0	1	0	1	26	676	1	2,7079999447	48	85
13	0	1	0	0	3	9	0	1,7630000114	22	85
13	0	0	0	0	16	256	0	2,2083001137	35	85
17	0	1	1	1	32	1024	0	2,4203999043	55	85
12	0	1	0	1	25	625	1	2,5648999214	43	85
14	0	0	1	0	15	225	1	2,0794000626	35	85
12	0	0	1	1	38	1444	0	1,4539999962	56	85
16	0	1	0	1	17	289	0	2,0636999607	39	85
12	0	0	1	0	7	49	0	1,9378999472	25	85
17	0	0	1	0	5	25	0	3,2179000378	28	85
14	0	0	0	1	22	484	0	2,3025999069	42	85
14	0	0	0	1	21	441	0	2,6210000515	41	85
13	0	0	1	1	2	4	0	1,7272000313	21	85
14	0	1	0	1	16	256	0	2,6858000755	36	85
16	0	0	0	1	18	324	0	3,2179000378	40	85
12	0	0	0	1	14	196	0	2,4848999977	32	85
18	0	0	0	1	12	144	0	2,7079999447	36	85
16	0	0	0	0	3	9	0	1,7534999847	25	85
17	0	0	1	1	13	169	0	2,5376999378	36	85
16	0	0	1	0	42	1764	0	2,4605000019	64	85
12	0	0	0	1	8	64	0	2,5648999214	26	85
15	0	0	1	1	6	36	0	2,5257000923	27	85
16	0	0	0	1	22	484	0	3,1135001183	44	85
16	0	1	1	0	3	9	0	2,4203999043	25	85
16	0	0	0	1	33	1089	0	2,7330999374	55	85
13	0	0	1	0	8	64	1	2,0411999226	27	85
12	0	0	0	1	26	676	0	2,4714999199	44	85
14	0	0	0	1	0	0	0	1,609400034	20	85
12	0	0	0	1	28	784	0	1,8717999458	46	85
8	0	0	0	1	33	1089	1	2,1972000599	47	85
12	0	0	0	0	0	0	0	1,2089999914	18	85
12	0	0	1	1	7	49	0	1,5040999651	25	85
14	0	0	1	1	12	144	0	2,3538999557	32	85
9	0	0	0	1	47	2209	1	1,2527999878	62	85
16	0	0	0	1	12	144	0	2,7079999447	34	85
12	0	0	1	0	25	625	0	2,1401000023	43	85
12	0	0	1	1	44	1936	0	2,2158999443	62	85
9	0	0	0	0	33	1089	1	2,2618000507	48	85
8	0	0	1	1	22	484	0	1,9278999567	36	85
18	0	0	1	1	14	196	0	2,6354999542	38	85
14	0	1	0	0	22	484	0	2,3025999069	42	85
12	0	0	1	0	41	1681	0	1,3217999935	59	85
12	0	0	1	0	8	64	0	2,0794000626	26	85
12	0	0	1	1	43	1849	0	2,4567000866	61	85
8	0	1	1	0	29	841	0	2,1844000816	43	85
12	0	1	0	0	6	36	1	1,3862999678	24	85
12	0	1	1	0	21	441	0	1,7046999931	39	85
16	0	1	0	0	3	9	0	1,2089999914	25	85
12	0	0	1	1	40	1600	0	2,3805000782	58	85
12	0	0	0	1	5	25	0	1,9458999634	23	85
13	0	0	0	1	34	1156	1	2,3025999069	53	85
16	0	0	1	1	10	100	0	1,6864000559	32	85
12	0	0	1	0	10	100	0	2,0148999691	28	85
12	0	0	0	1	41	1681	1	2,4203999043	59	85
10	0	0	1	1	25	625	1	2,3025999069	41	85
13	0	0	0	0	0	0	0	1,3862999678	19	85
18	0	0	0	1	14	196	1	2,6036999226	38	85
12	0	0	0	0	22	484	0	1,9095000029	40	85
14	0	0	1	1	32	1024	0	2,6593000889	52	85
15	0	0	1	1	9	81	0	2,277299881	30	85
12	0	0	1	0	0	0	0	1,2089999914	18	85
8	0	0	1	0	49	2401	0	1,2237999439	63	85
14	0	0	1	1	32	1024	0	1,7272000313	52	85
12	0	0	0	1	7	49	1	1,9458999634	25	85
16	0	0	1	1	10	100	0	2,3025999069	32	85
10	0	0	1	0	44	1936	1	1,8083000183	60	85
12	0	0	1	1	27	729	0	1,4278999567	45	85
12	0	0	1	1	16	256	0	1,5686000586	34	85
12	0	0	0	1	3	9	0	1,7491999865	21	85
12	0	0	0	1	8	64	0	1,5580999851	26	85
17	0	0	0	1	7	49	1	2,2379999161	30	85
12	0	0	1	0	8	64	0	1,6582000256	26	85
9	0	0	1	1	42	1764	0	1,5994000435	57	85
16	0	0	1	1	11	121	0	2,9639999866	33	85
12	0	0	0	1	23	529	0	2,994699955	41	85
12	0	0	0	0	4	16	0	1,3862999678	22	85
12	0	0	1	0	0	0	0	1,609400034	18	85
14	0	0	0	1	25	625	0	2,3589999676	45	85
12	0	1	0	0	22	484	1	2,3025999069	40	85
14	0	0	1	0	15	225	0	1,9981000423	35	85
15	0	0	0	0	10	100	0	2,5257000923	31	85
16	0	0	1	0	20	400	0	1,3862999678	42	85
12	0	0	1	1	24	576	0	2,7100999355	42	85
12	1	0	0	1	12	144	0	2,7725999355	30	85
12	1	0	1	0	12	144	0	1,2697999477	30	85
12	1	0	0	0	16	256	0	1,5040999651	34	85
12	1	0	1	0	4	16	0	1,5151000023	22	85
12	1	0	1	1	43	1849	0	1,2809000015	61	85
12	1	0	1	1	14	196	0	2,0794000626	32	85
12	1	0	1	0	10	100	0	1,5580999851	28	85
12	1	0	0	1	2	4	0	1,9065999985	20	85
12	1	0	0	1	28	784	0	2,407900095	46	85
7	1	0	1	1	15	225	0	1,7918000221	28	85
12	1	0	0	1	20	400	0	2,3025999069	38	85
12	1	0	1	1	30	900	0	2,4203999043	48	85
12	1	0	1	1	9	81	0	1,3737000227	27	85
16	1	1	0	1	13	169	0	2,8622000217	35	85
13	1	0	1	0	1	1	0	1,2668999434	20	85
16	1	0	0	0	8	64	0	1,7918000221	30	85
14	1	0	0	1	15	225	0	3,0910000801	35	85
12	1	0	1	0	6	36	0	1,8325999975	24	85
7	1	0	0	1	14	196	0	1,5040999651	27	85
13	1	0	1	0	28	784	0	2,334100008	47	85
14	1	0	0	1	10	100	0	2,5013999939	30	85
17	1	0	0	0	14	196	0	2,8993999958	37	85
16	1	0	0	1	10	100	0	2,7079999447	32	85
13	1	0	1	1	10	100	0	2,1691000462	29	85
14	1	0	0	1	44	1936	0	2,994699955	64	85
16	0	0	1	0	10	100	1	1,8970999718	32	85
14	0	0	0	1	22	484	1	2,2644000053	42	85
11	0	0	0	1	18	324	1	1,7046999931	35	85
12	0	0	1	0	9	81	0	2,0794000626	27	85
18	0	0	1	1	19	361	0	2,9956998825	43	85
17	0	0	1	1	14	196	0	2,2513000965	37	85
16	0	0	1	0	6	36	1	2,4672000408	28	85
16	0	0	1	0	17	289	0	2,6310999393	39	85
11	0	0	1	1	24	576	0	1,7046999931	41	85
11	0	0	1	0	12	144	0	1,9458999634	29	85
12	0	0	1	1	38	1444	0	2,2669999599	56	85
15	0	0	1	0	33	1089	0	2,3617999554	54	85
2	0	0	0	0	16	256	0	1,3217999935	24	85
14	0	0	1	1	10	100	0	2,4848999977	30	85
14	0	0	1	1	14	196	0	2,1470999718	34	85
14	0	0	0	0	16	256	0	2,7813000679	36	85
11	0	0	0	0	11	121	0	1,3217999935	28	85
16	0	1	1	1	6	36	0	2,1972000599	28	85
12	0	1	1	1	33	1089	0	2,5745000839	51	85
16	0	0	0	0	10	100	0	2,5801999569	32	85
12	0	0	0	0	19	361	0	2,2246000767	37	85
12	0	0	0	0	4	16	0	1,609400034	22	85
17	0	0	1	0	3	9	1	1,7918000221	26	85
12	0	0	1	1	32	1024	0	1,9458999634	50	85
8	0	0	0	1	19	361	0	1,5476000309	33	85
16	0	0	1	1	22	484	0	2,0148999691	44	85
18	0	0	0	1	33	1089	0	1,9458999634	57	85
18	0	0	0	1	19	361	0	2,4173998833	43	85
18	0	0	0	1	3	9	0	1,7430000305	27	85
12	0	0	0	1	12	144	0	1,7046999931	30	85
12	0	0	0	1	16	256	0	2,1972000599	34	85
12	0	0	1	1	4	16	0	1,4170999527	22	85
12	0	0	0	1	11	121	1	2,3025999069	29	85
12	0	0	0	1	17	289	0	2,0148999691	35	85
11	0	0	0	0	16	256	0	1,2947000265	33	85
12	0	0	0	1	18	324	0	2,1847999096	36	85
18	0	0	0	1	15	225	0	2,8903999329	39	85
14	0	1	0	0	0	0	0	1,2089999914	20	85
16	0	1	0	0	8	64	0	2,5989999771	30	85
16	0	0	0	1	17	289	0	3,1135001183	39	85
18	0	0	0	0	13	169	0	2,9444000721	37	85
12	0	0	1	1	18	324	0	2,1893999577	36	85
11	0	1	1	1	16	256	0	1,9458999634	33	85
14	0	0	1	0	24	576	0	1,4270999432	44	85
12	0	0	0	1	23	529	0	2,2853999138	41	85
12	0	0	0	0	1	1	0	1,8970999718	19	85
12	0	0	1	1	10	100	1	1,9458999634	28	85
12	0	0	1	1	42	1764	0	1,2910000086	60	85
18	0	0	1	0	37	1369	0	3,1278998852	61	85
12	0	0	1	1	14	196	0	1,609400034	32	85
18	0	0	0	1	14	196	0	3,1135001183	38	85
12	0	0	1	1	11	121	0	2,4848999977	29	85
12	0	0	1	1	38	1444	0	1,8373999596	56	85
12	0	0	1	0	3	9	0	1,5040999651	21	85
12	0	0	0	1	9	81	0	1,7918000221	27	85
10	0	0	0	1	13	169	0	1,9095000029	29	85
12	0	0	0	0	9	81	0	2,1691000462	27	85
16	0	0	0	1	11	121	0	2,5859000683	33	85
13	0	0	1	1	30	900	0	1,8325999975	49	85
12	0	0	1	0	15	225	1	2,1960999966	33	85
14	0	0	0	0	2	4	0	2,0148999691	22	85
17	0	0	1	1	24	576	0	2,4848999977	47	85
18	0	0	1	0	31	961	1	2,6391000748	55	85
14	0	0	0	0	19	361	0	2,7987999916	39	85
14	0	0	0	0	2	4	0	1,8325999975	22	85
12	0	0	0	1	4	16	1	2,3513998985	22	85
9	0	0	1	1	46	2116	1	2,2513000965	61	85
6	0	0	1	1	43	1849	1	1,0986000299	55	85
14	0	0	1	1	13	169	0	2,2214000225	33	85
12	0	0	1	0	15	225	0	1,3862999678	33	85
12	0	0	1	0	16	256	0	1,3350000381	34	85
12	0	0	1	1	19	361	0	1,7918000221	37	85
12	0	0	1	1	28	784	0	1,609400034	46	85
12	0	0	0	1	42	1764	0	2,7079999447	60	85
11	0	0	1	0	45	2025	1	1,7137999535	62	85
16	0	1	0	1	7	49	0	2,1972000599	29	85
17	0	0	0	1	31	961	0	3,2179000378	54	85
12	0	0	1	1	24	576	0	2,1389000416	42	85
14	0	0	1	1	17	289	0	1,609400034	37	85
12	0	0	0	1	26	676	1	3,1001000404	44	85
16	0	1	0	1	5	25	1	2,2235000134	27	85
16	0	0	1	1	17	289	0	2,0794000626	39	85
10	1	0	1	0	33	1089	0	1,2527999878	49	85
13	1	0	1	1	2	4	0	1,2089999914	21	85
16	1	1	1	1	14	196	0	1,2089999914	36	85
16	1	0	1	1	28	784	1	2,9956998825	50	85
12	1	0	1	0	46	2116	0	1,3862999678	64	85
16	1	0	0	1	38	1444	0	2,8903999329	60	85
13	1	0	1	0	0	0	0	1,5040999651	19	85
12	1	0	1	0	1	1	0	2,0557000637	19	85
12	1	0	1	1	5	25	0	0,5595999956	23	85
18	1	0	1	1	13	169	0	1,6486999989	37	85
10	1	0	0	0	19	361	0	2,1691000462	35	85
12	1	0	0	1	5	25	0	1,609400034	23	85
12	1	1	1	1	6	36	0	1,3217999935	24	85
13	1	0	0	1	9	81	0	1,7834000587	28	85
12	1	0	0	0	7	49	0	1,3862999678	25	85
3	1	0	0	1	55	3025	0	1,9458999634	64	85
17	1	0	1	0	1	1	0	1,609400034	24	85
6	1	1	1	0	33	1089	0	1,5304000378	45	85
12	1	0	1	1	21	441	0	1,7491999865	39	85
18	0	0	0	1	29	841	0	3,2179000378	53	85
18	0	0	0	1	7	49	0	2,7592999935	31	85
16	0	0	0	0	10	100	0	2,7444000244	32	85
16	0	0	0	0	9	81	0	1,2089999914	31	85
18	0	0	0	1	7	49	0	2,8993999958	31	85
18	0	0	0	0	33	1089	1	2,0794000626	57	85
13	0	0	0	0	31	961	0	1,7918000221	50	85
18	0	0	0	1	5	25	0	2,8478000164	29	85
16	0	0	1	0	2	4	0	1,7046999931	24	85
12	0	0	0	0	20	400	0	2,0346999168	38	85
16	0	1	0	0	4	16	0	1,8325999975	26	85
12	0	0	1	1	45	2025	0	1,8562999964	63	85
12	0	0	1	1	24	576	0	1,8839000463	42	85
12	0	0	0	1	43	1849	0	2,5257000923	61	85
18	0	0	0	1	10	100	0	2,5903000832	34	85
12	0	0	0	0	3	9	0	1,7046999931	21	85
15	0	0	0	0	5	25	0	2,4203999043	26	85
12	0	0	1	0	45	2025	0	2,3631999493	63	85
12	0	1	1	1	43	1849	1	2,0794000626	61	85
17	0	0	1	1	26	676	1	2,3224000931	49	85
12	0	0	1	1	42	1764	0	1,7561000586	60	85
12	0	0	0	1	37	1369	0	1,9879000187	55	85
14	0	0	1	0	1	1	0	3,7955000401	21	85
13	0	0	1	1	14	196	0	2,3513998985	33	85
12	0	0	0	1	8	64	0	2,236399889	26	85
12	0	0	1	1	24	576	0	1,6486999989	42	85
12	0	0	1	1	20	400	0	1,4469000101	38	85
17	0	0	1	0	13	169	1	2,7695000172	36	85
15	0	0	0	1	12	144	0	3,1135001183	33	85
16	1	0	1	1	4	16	0	1,609400034	26	85
12	1	1	0	1	14	196	0	1,6677000523	32	85
18	1	0	0	1	14	196	0	1,8325999975	38	85
18	1	0	1	0	13	169	0	2,3025999069	37	85
12	1	0	0	1	20	400	0	1,7046999931	38	85
9	1	0	1	1	30	900	0	1,9169000387	45	85
12	1	0	1	1	28	784	0	1,0986000299	46	85
16	1	0	0	1	14	196	1	2,3025999069	36	85
10	1	0	0	0	13	169	0	1,5789999962	29	85
12	1	0	0	1	32	1024	0	2,2425000668	50	85
15	1	0	1	0	26	676	0	1,7918000221	47	85
13	1	0	1	0	0	0	0	1,4469000101	19	85
14	1	0	0	1	12	144	1	2,3996999264	32	85
12	1	1	1	1	32	1024	0	2,4981999397	50	85
12	1	0	0	1	12	144	0	2,1317999363	30	85
12	1	0	0	0	3	9	0	2,4361000061	21	85
9	1	0	0	1	29	841	0	2,994699955	44	85
14	1	0	1	0	10	100	0	1,9278999567	30	85
12	0	0	1	1	16	256	1	1,7430000305	34	85
12	0	0	1	1	8	64	0	1,2089999914	26	85
9	0	0	1	1	16	256	0	1,5789999962	31	85
12	0	0	1	1	15	225	0	1,7491999865	33	85
12	0	0	1	1	18	324	0	1,6864000559	36	85
12	0	0	1	1	38	1444	0	2,5769999027	56	85
12	0	0	1	1	13	169	0	2,426199913	31	85
13	0	0	0	1	18	324	0	2,1691000462	37	85
12	0	0	0	1	19	361	1	2,5030999184	37	85
10	0	0	0	1	15	225	0	1,6582000256	31	85
14	1	0	0	0	5	25	0	1,7148000002	25	85
12	1	0	1	1	36	1296	0	1,523900032	54	85
12	1	0	0	1	38	1444	0	2,0148999691	56	85
12	1	0	0	0	5	25	0	2,4848999977	23	85
12	1	0	0	1	35	1225	1	2,7725999355	53	85
11	1	1	0	0	3	9	0	1,2089999914	20	85
10	1	0	0	0	27	729	0	1,4929000139	43	85
12	1	0	1	1	29	841	0	1,4469000101	47	85
10	1	1	1	1	38	1444	0	2,5725998878	54	85
10	1	0	0	1	9	81	0	1,9458999634	25	85
6	1	0	0	1	45	2025	0	1,7491999865	57	85
8	1	0	0	1	27	729	0	1,8717999458	41	85
12	1	1	0	1	20	400	0	2,0292999744	38	85
16	1	0	0	1	14	196	1	3,0204000473	36	85
12	1	0	0	0	1	1	0	1,8325999975	19	85
11	1	1	1	1	25	625	0	1,3454999924	42	85
14	1	0	0	1	21	441	0	2,8124001026	41	85
17	0	0	1	0	10	100	0	2,4203999043	33	85
14	0	0	0	0	2	4	0	1,7316999435	22	85
11	0	0	0	0	17	289	0	1,8717999458	34	85
12	0	0	1	1	24	576	0	2,0476999283	42	85
12	0	0	0	1	26	676	1	1,9358999729	44	85
12	0	0	0	1	39	1521	1	2,7079999447	57	85
7	0	1	0	1	42	1764	1	1,9458999634	55	85
7	1	0	0	1	43	1849	0	1,2089999914	56	85
12	1	0	0	0	5	25	0	1,8717999458	23	85
16	1	0	1	1	7	49	0	1,8325999975	29	85
13	1	0	1	1	6	36	0	1,609400034	25	85
13	1	1	1	0	1	1	0	1,2383999825	20	85
14	1	0	0	1	41	1681	0	2,1747999191	61	85
16	1	0	1	1	4	16	0	2,3025999069	26	85
11	1	0	1	1	25	625	1	1,3862999678	42	85
12	1	0	1	1	39	1521	0	2,2513000965	57	85
14	1	0	1	1	15	225	0	2,344700098	35	85
18	1	0	0	1	10	100	0	1,6505999565	34	85
12	1	0	1	0	20	400	0	2,0148999691	38	85
17	1	0	0	1	2	4	0	1,9458999634	25	85
11	1	1	0	1	28	784	1	2,3777000904	45	85
10	1	0	0	1	27	729	1	2,1861000061	43	85
16	1	0	1	0	13	169	0	1,3217999935	35	85
15	1	0	0	0	4	16	0	1,3217999935	25	85
12	0	0	0	0	13	169	0	2,2460000515	31	85
12	0	0	0	1	33	1089	1	2,7079999447	51	85
12	0	0	1	0	6	36	0	1,2809000015	24	85
18	0	0	0	1	23	529	1	2,4848999977	47	85
16	0	0	1	1	6	36	0	2,3631999493	28	85
16	0	0	1	1	16	256	0	2,6391000748	38	85
16	0	0	0	0	3	9	1	1,609400034	25	85
12	0	0	0	0	19	361	1	2,4423000813	37	85
12	0	0	0	1	43	1849	1	2,6180999279	61	85
12	1	0	0	1	34	1156	0	2,3631999493	52	85
12	1	0	1	0	25	625	0	2,0081999302	43	85
10	1	1	0	1	41	1681	1	1,9095000029	57	85
17	1	1	1	0	6	36	0	1,7706999779	29	85
12	1	1	0	0	2	4	0	1,2321000099	20	85
8	1	1	1	1	37	1369	0	1,4701999426	51	85
12	1	1	0	1	19	361	1	2,5648999214	37	85
5	1	0	0	1	44	1936	0	2,6391000748	55	85
10	1	1	1	1	37	1369	0	1,2566000223	53	85
13	1	0	0	0	8	64	0	1,4586000443	27	85
18	1	0	0	1	12	144	0	1,7669999599	36	85
12	0	0	0	0	8	64	0	1,7918000221	26	85
16	0	0	0	1	13	169	1	2,3979001045	35	85
13	0	0	0	0	32	1024	0	3,0564000607	51	85
16	0	0	0	1	18	324	0	2,6758999825	40	85
12	0	1	0	0	8	64	0	1,924200058	26	85
16	0	0	1	0	0	0	0	2,3025999069	18	85
16	0	0	1	1	7	49	0	2,3025999069	29	85
16	1	0	1	0	5	25	0	3,2179000378	27	85
12	1	0	1	1	17	289	0	1,3217999935	35	85
11	1	0	0	1	39	1521	0	1,8717999458	56	85
12	1	0	0	0	4	16	0	1,609400034	22	85
8	1	0	1	0	45	2025	0	1,5151000023	59	85
12	0	0	0	0	8	64	0	1,8717999458	26	85
16	0	0	0	0	9	81	0	2,3585000038	31	85
12	0	0	0	1	23	529	0	2,257600069	41	85
16	0	0	1	1	14	196	0	2,4848999977	36	85
12	0	0	1	0	16	256	0	2,1401000023	34	85
12	0	0	1	1	15	225	0	1,4110000134	33	85
12	0	0	1	0	15	225	0	1,5040999651	33	85
16	0	0	0	1	16	256	0	2,4423000813	38	85
14	0	0	0	0	13	169	0	2,1861000061	33	85
11	0	0	0	0	15	225	1	2,6538999081	32	85
16	0	0	0	1	11	121	0	2,613699913	33	85
18	0	0	1	0	40	1600	0	3,1001000404	64	85
18	0	0	1	1	11	121	0	2,7079999447	35	85
13	1	0	0	1	17	289	0	2,0868999958	36	85
12	1	0	0	1	12	144	0	1,9095000029	30	85
11	1	1	0	1	14	196	0	1,5040999651	31	85
12	1	0	1	1	26	676	0	1,9458999634	44	85
12	1	1	1	1	27	729	0	2,0148999691	45	85
12	1	0	1	1	16	256	0	2,0148999691	34	85
12	1	1	0	0	2	4	0	2,1401000023	20	85
7	1	0	0	1	44	1936	0	2,0794000626	57	85
8	1	0	0	1	8	64	0	1,2527999878	22	85
12	1	0	0	1	9	81	0	2,5257000923	27	85
12	1	0	0	0	1	1	1	1,7918000221	19	85
16	1	0	1	0	2	4	0	1,6582000256	24	85
12	1	0	0	0	6	36	0	1,609400034	24	85
11	1	0	1	1	17	289	0	1,2527999878	34	85
14	1	0	0	1	14	196	1	2,3979001045	34	85
12	0	0	0	0	3	9	0	2,0148999691	21	85
12	0	0	0	1	13	169	0	2,1401000023	31	85
12	0	0	0	0	11	121	0	2,5257000923	29	85
12	0	0	0	1	24	576	1	2,3749001026	42	85
12	0	0	1	1	14	196	1	2,5257000923	32	85
17	0	0	0	1	7	49	0	2,0541000366	30	85
17	0	0	0	1	13	169	0	2,4848999977	36	85
12	1	1	1	1	10	100	0	1,2089999914	28	85
12	1	0	0	1	13	169	1	2,9895000458	31	85
13	1	0	0	1	7	49	0	1,7918000221	26	85
8	1	0	1	1	39	1521	0	1,439800024	53	85
14	1	0	1	1	6	36	0	1,2527999878	26	85
12	1	0	0	1	20	400	1	2,4848999977	38	85
12	0	0	1	1	7	49	0	1,2089999914	25	85
12	0	0	0	1	20	400	1	2,1972000599	38	85
14	0	0	1	0	6	36	0	1,3812999725	26	85
12	0	0	1	1	39	1521	0	1,609400034	57	85
16	0	0	0	1	15	225	0	2,5390000343	37	85
15	0	0	0	1	31	961	0	2,8478000164	52	85
12	0	0	1	0	25	625	0	2,2513000965	43	85
11	0	0	0	1	13	169	1	2,6391000748	30	85
12	0	1	0	1	8	64	1	2,1401000023	26	85
12	0	0	1	1	2	4	0	1,4469000101	20	85
16	0	0	0	1	14	196	0	1,7578999996	36	85
13	0	0	0	1	14	196	0	2,4203999043	33	85
18	0	0	1	1	18	324	1	2,4848999977	42	85
12	0	0	1	1	28	784	0	2,4203999043	46	85
16	0	0	0	1	10	100	1	2,0148999691	32	85
14	1	1	0	0	17	289	0	2,1040999889	37	85
12	1	0	1	1	14	196	0	1,5789999962	32	85
12	1	0	1	1	2	4	0	1,5580999851	20	85
16	1	0	0	1	29	841	0	1,7046999931	51	85
11	1	0	0	1	29	841	0	2,2513000965	46	85
12	1	0	1	1	14	196	0	2,2618000507	32	85
13	0	0	1	1	33	1089	0	1,5151000023	52	85
16	0	0	0	1	4	16	0	2,7558000088	26	85
15	0	0	0	1	13	169	0	2,2885000706	34	85
14	0	0	1	0	24	576	0	2,3025999069	44	85
13	0	0	0	0	5	25	0	1,7578999996	24	85
14	1	0	0	0	1	1	0	2,018599987	21	85
11	1	0	0	1	37	1369	1	2,277299881	54	85
11	1	0	0	1	18	324	1	2,5648999214	35	85
15	1	0	1	1	10	100	0	2,3301999569	31	85
12	1	0	0	1	16	256	1	2,5989999771	34	85
12	0	0	0	1	12	144	1	2,5313000679	30	85
14	0	0	1	0	4	16	0	2,1552000046	24	85
12	0	0	0	1	16	256	1	2,584800005	34	85
14	0	1	0	1	34	1156	1	1,924200058	54	85
13	0	0	0	1	10	100	1	2,5232999325	29	85
14	0	0	0	1	17	289	0	1,9660999775	37	85
13	0	0	1	1	16	256	0	2,5257000923	35	85
10	0	0	0	1	20	400	0	2,3025999069	36	85
10	0	0	0	1	12	144	0	2,3025999069	28	85
12	0	0	0	1	30	900	0	2,1691000462	48	85
16	0	0	1	1	26	676	0	2,2379999161	48	85
13	0	0	0	1	13	169	0	2,407900095	32	85
8	0	0	1	1	21	441	0	1,6291999817	35	85
11	0	1	0	0	3	9	0	2,0148999691	20	85
8	0	1	1	1	29	841	0	1,2237999439	43	85
12	0	0	1	1	3	9	0	1,5040999651	21	85
18	0	1	0	1	27	729	0	1,8325999975	51	85
12	0	0	0	1	33	1089	0	3,0229001045	51	85
13	0	0	0	0	17	289	0	2,1282000542	36	85
12	0	0	1	1	15	225	0	2,0794000626	33	85
9	0	0	0	1	38	1444	0	2,1401000023	53	85
12	0	0	0	0	9	81	0	1,3217999935	27	85
12	0	0	0	1	10	100	0	2,1972000599	28	85
16	0	0	1	0	6	36	0	2,4890999794	28	85
12	0	0	1	1	7	49	0	1,5040999651	25	85
9	0	1	0	0	16	256	0	1,5686000586	31	85
10	0	0	0	1	30	900	0	1,8717999458	46	85
12	0	0	0	1	19	361	0	2,0397999287	37	85
12	0	0	1	0	15	225	0	2,2335999012	33	85
12	0	1	0	1	12	144	0	1,609400034	30	85
12	0	1	1	1	33	1089	0	1,8083000183	51	85
12	0	1	0	0	36	1296	0	2,367399931	54	85
12	0	1	1	0	25	625	0	1,2527999878	43	85
12	0	1	0	1	35	1225	1	2,3025999069	53	85
13	0	1	0	0	8	64	1	2,1972000599	27	85
12	1	1	1	1	23	529	0	2,0148999691	41	85
18	1	0	0	0	7	49	0	1,7430000305	31	85
17	1	0	0	0	3	9	0	2,1401000023	26	85
12	1	1	0	1	8	64	0	1,3862999678	26	85
9	1	1	1	1	34	1156	1	1,7491999865	49	85
12	0	0	0	0	2	4	0	1,6582000256	20	85
12	0	0	0	1	34	1156	0	1,2527999878	52	85
11	0	0	0	0	2	4	0	1,5040999651	19	85
12	0	0	1	0	11	121	0	1,7046999931	29	85
13	0	0	1	1	4	16	0	1,8325999975	23	85
16	0	0	1	1	22	484	1	2,1847999096	44	85
12	0	0	1	1	45	2025	0	1,6582000256	63	85
14	0	0	1	1	26	676	0	2,3273000717	46	85
14	0	0	1	1	12	144	0	1,8325999975	32	85
12	0	0	1	1	3	9	0	1,4701999426	21	85
